Origin,Destination,Airline,Duration,Cost
SEA,SFO,Alaska Airlines,120,150.00
SEA,LAX,Delta,150,180.00
SEA,DEN,United,130,165.00
SEA,PDX,Alaska Airlines,45,85.00
SFO,LAX,United,90,120.00
SFO,LAS,Southwest,95,110.00
SFO,DEN,United,140,155.00
SFO,PHX,American,110,135.00
LAX,LAS,Southwest,75,95.00
LAX,PHX,Southwest,85,105.00
LAX,DEN,United,130,160.00
LAX,DFW,American,180,220.00
LAS,DEN,Southwest,100,115.00
LAS,PHX,Southwest,80,100.00
PHX,DEN,Southwest,110,130.00
PHX,DFW,American,140,175.00
DEN,ORD,United,140,170.00
DEN,DFW,United,120,145.00
DEN,MSP,United,125,155.00
DFW,ORD,American,150,185.00
DFW,ATL,Delta,140,165.00
DFW,IAH,American,70,95.00
ORD,JFK,United,160,210.00
ORD,BOS,United,145,195.00
ORD,DTW,United,75,110.00
ORD,MSP,United,85,125.00
MSP,ORD,United,85,125.00
MSP,DTW,Delta,90,135.00
ATL,JFK,Delta,135,190.00
ATL,BOS,Delta,145,200.00
ATL,MIA,Delta,125,155.00
ATL,IAH,Delta,110,140.00
IAH,MIA,United,150,175.00
JFK,BOS,JetBlue,75,100.00
JFK,MIA,JetBlue,180,225.00
BOS,MIA,JetBlue,200,240.00
PDX,SEA,Alaska Airlines,45,85.00
PDX,SFO,Alaska Airlines,100,130.00
SFO,SEA,Alaska Airlines,120,150.00
LAX,SEA,Delta,150,180.00
DEN,SEA,United,130,165.00
LAS,LAX,Southwest,75,95.00
DEN,LAS,Southwest,100,115.00
PHX,LAX,Southwest,85,105.00
DFW,LAX,American,180,220.00
ORD,DEN,United,140,170.00
DTW,ORD,United,75,110.00
MIA,ATL,Delta,125,155.00
BOS,JFK,JetBlue,75,100.00
SEA,ORD,United,210,380.00
SFO,ORD,United,220,390.00
LAX,ORD,American,200,370.00
